Observation,Energy
50001,47.9333333333
50002,87.9333333333
50003,65.6666666667
50004,104.333333333
50005,49.7333333333
50006,71.8666666667
50007,130.6
50008,57.6
50009,100.066666667
50010,44.5333333333
50011,51.7333333333
50012,99.4666666667
50013,50.8
50014,107.933333333
50015,69.8
50016,108.133333333
50017,71.4
50018,344.333333333
50019,53.4
50020,93.9333333333
50021,71.6
50022,126.0
50023,132.266666667
50024,80.0
50025,66.8
50026,72.4666666667
50027,248.4
50028,185.866666667
50029,56.2666666667
50030,61.0
50031,70.6666666667
50032,87.7333333333
50033,72.8666666667
50034,58.8666666667
50035,149.2
50036,59.4666666667
50037,57.9333333333
50038,114.466666667
50039,172.933333333
50040,37.5333333333
50041,52.6666666667
50042,49.2666666667
50043,69.4666666667
50044,70.8
50045,123.266666667
50046,82.6666666667
50047,51.4666666667
50048,65.2
50049,54.1333333333
50050,89.6
50051,221.866666667
50052,63.2
50053,76.0
50054,200.266666667
50055,119.466666667
50056,49.0
50057,62.0
50058,144.133333333
50059,55.6666666667
50060,317.733333333
50061,72.8
50062,54.0
50063,52.6
50064,94.0
50065,43.8666666667
50066,79.6666666667
50067,123.2
50068,65.7333333333
50069,180.733333333
50070,59.4666666667
50071,90.8666666667
50072,121.2
50073,278.533333333
50074,59.4
50075,50.8
50076,61.8666666667
50077,78.8666666667
50078,123.0
50079,132.266666667
50080,77.9333333333
50081,85.1333333333
50082,45.4666666667
50083,69.5333333333
50084,54.2666666667
50085,89.4666666667
50086,69.6
50087,170.666666667
50088,75.7333333333
50089,73.0
50090,168.333333333
50091,53.0
50092,80.0666666667
50093,123.466666667
50094,228.266666667
50095,70.4
50096,51.2
50097,47.6666666667
50098,64.0666666667
50099,91.9333333333
50100,116.6
50101,39.8666666667
50102,87.2
50103,80.0
50104,113.533333333
50105,110.266666667
50106,96.7333333333
50107,53.0666666667
50108,168.266666667
50109,81.5333333333
50110,44.7333333333
50111,64.0
50112,205.133333333
50113,68.4
50114,73.9333333333
50115,73.0
50116,62.7333333333
50117,78.2666666667
50118,61.3333333333
50119,216.6
50120,177.066666667
50121,232.733333333
50122,85.0
50123,67.0666666667
50124,83.2666666667
50125,57.6
50126,141.0
50127,91.3333333333
50128,55.9333333333
50129,129.866666667
50130,60.6
50131,146.6
50132,58.4666666667
50133,68.4666666667
50134,125.0
50135,74.9333333333
50136,201.866666667
50137,345.666666667
50138,69.2666666667
50139,52.3333333333
50140,44.4666666667
50141,468.533333333
50142,243.2
50143,88.5333333333
50144,54.3333333333
50145,102.2
50146,59.0666666667
50147,99.0
50148,168.733333333
50149,110.866666667
50150,127.333333333
50151,174.6
50152,63.3333333333
50153,120.066666667
50154,57.2666666667
50155,95.2
50156,100.466666667
50157,107.8
50158,119.933333333
50159,84.5333333333
50160,71.6
50161,93.4
50162,60.2666666667
50163,81.1333333333
50164,95.2
50165,160.4
50166,94.6
50167,132.733333333
50168,106.466666667
50169,57.6
50170,57.4
50171,73.6
50172,68.8
50173,54.6
50174,70.5333333333
50175,80.4666666667
50176,151.133333333
50177,59.4
50178,46.8666666667
50179,57.1333333333
50180,102.733333333
50181,195.133333333
50182,71.7333333333
50183,57.8666666667
50184,70.0666666667
50185,66.5333333333
50186,107.066666667
50187,208.466666667
50188,67.9333333333
50189,79.8
50190,134.2
50191,141.866666667
50192,65.0666666667
50193,72.0666666667
50194,115.8
50195,67.1333333333
50196,55.8666666667
50197,46.0666666667
50198,213.6
50199,74.4666666667
50200,227.2
50201,62.0
50202,57.5333333333
50203,377.133333333
50204,66.1333333333
50205,99.6
50206,116.666666667
50207,55.1333333333
50208,149.933333333
50209,266.2
50210,104.466666667
50211,73.4
50212,50.6
50213,375.866666667
50214,60.5333333333
50215,183.533333333
50216,48.2666666667
50217,71.1333333333
50218,65.0
50219,141.8
50220,84.2
50221,69.8
50222,70.4
50223,39.8
50224,117.4
50225,73.4
50226,120.0
50227,109.133333333
50228,76.3333333333
50229,64.0
50230,157.466666667
50231,452.0
50232,426.533333333
50233,63.6666666667
50234,211.666666667
50235,202.2
50236,126.6
50237,48.6666666667
50238,103.0
50239,60.2666666667
50240,81.3333333333
50241,48.7333333333
50242,74.4
50243,74.0666666667
50244,80.8666666667
50245,70.4666666667
50246,201.666666667
50247,101.266666667
50248,58.3333333333
50249,155.8
50250,106.466666667
50251,38.4
50252,101.733333333
50253,101.2
50254,61.5333333333
50255,83.6666666667
50256,85.4666666667
50257,40.3333333333
50258,275.2
50259,89.9333333333
50260,122.066666667
50261,106.733333333
50262,57.3333333333
50263,73.0
50264,77.5333333333
50265,60.5333333333
50266,67.6
50267,67.3333333333
50268,116.133333333
50269,87.4666666667
50270,148.133333333
50271,132.8
50272,147.733333333
50273,186.0
50274,73.3333333333
50275,54.2666666667
50276,85.0666666667
50277,311.066666667
50278,51.3333333333
50279,50.2666666667
50280,57.8
50281,65.2
50282,58.1333333333
50283,158.466666667
50284,117.0
50285,63.4
50286,94.4666666667
50287,50.7333333333
50288,110.866666667
50289,67.3333333333
50290,50.8
50291,62.3333333333
50292,46.6666666667
50293,59.4666666667
50294,44.5333333333
50295,121.6
50296,82.0666666667
50297,211.466666667
50298,79.6
50299,92.6
50300,190.133333333
50301,77.9333333333
50302,113.866666667
50303,76.6666666667
50304,215.266666667
50305,55.4
50306,147.6
50307,51.6
50308,64.8
50309,69.4
50310,52.0666666667
50311,220.733333333
50312,67.2
50313,138.4
50314,83.0666666667
50315,52.4666666667
50316,135.066666667
50317,63.1333333333
50318,75.2
50319,79.7333333333
50320,73.6666666667
50321,65.2666666667
50322,226.666666667
50323,46.4
50324,50.6666666667
50325,106.266666667
50326,101.733333333
50327,120.066666667
50328,76.7333333333
50329,51.4666666667
50330,62.6
50331,78.7333333333
50332,92.8
50333,68.2
50334,74.0666666667
50335,256.933333333
50336,57.8666666667
50337,160.333333333
50338,70.5333333333
50339,54.2
50340,65.8
50341,53.6
50342,66.0
50343,73.0
50344,104.933333333
50345,50.7333333333
50346,180.933333333
50347,62.9333333333
50348,59.1333333333
50349,62.9333333333
50350,97.9333333333
50351,71.2666666667
50352,102.8
50353,312.866666667
50354,46.0
50355,57.2666666667
50356,82.7333333333
50357,301.066666667
50358,78.8666666667
50359,61.8
50360,102.0
50361,133.266666667
50362,139.533333333
50363,61.7333333333
50364,135.0
50365,54.8666666667
50366,65.4666666667
50367,160.666666667
50368,155.266666667
50369,54.4666666667
50370,126.666666667
50371,309.666666667
50372,57.0
50373,261.933333333
50374,119.866666667
50375,400.066666667
50376,200.866666667
50377,122.866666667
50378,89.0
50379,62.2
50380,306.533333333
50381,105.733333333
50382,85.2666666667
50383,44.8
50384,52.1333333333
50385,59.6
50386,99.7333333333
50387,90.5333333333
50388,53.6
50389,44.6
50390,76.5333333333
50391,135.466666667
50392,62.9333333333
50393,61.4
50394,64.8
50395,262.333333333
50396,71.4666666667
50397,61.8666666667
50398,174.933333333
50399,81.7333333333
50400,42.6666666667
50401,57.0666666667
50402,73.8
50403,110.333333333
50404,90.8666666667
50405,47.6
50406,183.533333333
50407,70.3333333333
50408,218.933333333
50409,149.0
50410,163.2
50411,54.6666666667
50412,121.266666667
50413,60.7333333333
50414,109.533333333
50415,157.333333333
50416,67.9333333333
50417,74.2666666667
50418,104.2
50419,42.6666666667
50420,134.666666667
50421,118.666666667
50422,67.8
50423,107.666666667
50424,92.0
50425,298.6
50426,106.533333333
50427,77.2
50428,124.6
50429,104.866666667
50430,151.733333333
50431,63.2
50432,71.2666666667
50433,53.3333333333
50434,53.0
50435,64.6
50436,67.4666666667
50437,79.0
50438,136.0
50439,232.6
50440,76.5333333333
50441,71.4666666667
50442,56.8666666667
50443,49.3333333333
50444,117.2
50445,414.4
50446,97.2
50447,45.8
50448,56.5333333333
50449,96.4
50450,89.8
50451,131.933333333
50452,59.7333333333
50453,48.4666666667
50454,49.7333333333
50455,58.9333333333
50456,58.9333333333
50457,70.2
50458,57.2666666667
50459,154.866666667
50460,84.1333333333
50461,47.0
50462,241.933333333
50463,96.4
50464,198.466666667
50465,40.4
50466,117.266666667
50467,164.6
50468,193.8
50469,77.4666666667
50470,66.8666666667
50471,91.6666666667
50472,52.6
50473,119.8
50474,99.4
50475,85.0666666667
