Observation,Energy
50001,43.811378479
50002,65.9034957886
50003,68.357421875
50004,54.4027519226
50005,45.1206817627
50006,43.003162384
50007,73.3510360718
50008,51.2480812073
50009,57.6565475464
50010,39.5812339783
50011,65.739440918
50012,63.8399467468
50013,58.7526741028
50014,61.4035072327
50015,42.9081382751
50016,61.5359153748
50017,43.3026847839
50018,50.9077224731
50019,51.4117851257
50020,70.6316146851
50021,65.318321228
50022,58.2206039429
50023,66.1495132446
50024,43.8006629944
50025,59.4707679749
50026,64.4382095337
50027,72.6930541992
50028,67.7728271484
50029,43.0286102295
50030,43.4323768616
50031,50.3226242065
50032,60.9020881653
50033,63.4893035889
50034,50.2980117798
50035,63.1172828674
50036,44.5852355957
50037,45.6286354065
50038,60.9823875427
50039,85.6370315552
50040,52.3405189514
50041,56.6305847168
50042,42.1990661621
50043,46.143283844
50044,48.1619300842
50045,73.1294631958
50046,56.8909225464
50047,43.9105796814
50048,62.3144683838
50049,44.7976150513
50050,45.8026924133
50051,77.2894058228
50052,41.3129119873
50053,46.8495750427
50054,65.4731903076
50055,64.002243042
50056,43.6555747986
50057,50.2799720764
50058,57.6495552063
50059,58.0498085022
50060,66.9877166748
50061,60.6189460754
50062,35.1576499939
50063,45.9699707031
50064,59.4906730652
50065,56.5707817078
50066,62.0559959412
50067,46.6412124634
50068,54.0832176208
50069,77.0048217773
50070,53.4443283081
50071,65.8467559814
50072,62.6324806213
50073,87.9930343628
50074,37.4637565613
50075,34.1970100403
50076,59.8070678711
50077,57.482257843
50078,77.4505386353
50079,66.3783798218
50080,49.085735321
50081,55.0674858093
50082,55.8157920837
50083,47.4230461121
50084,42.0825309753
50085,61.0053672791
50086,58.7418327332
50087,73.7784118652
50088,48.6047096252
50089,59.1739578247
50090,67.2858810425
50091,53.6972236633
50092,47.7877388
50093,65.0446929932
50094,50.6313819885
50095,51.3543891907
50096,41.8493766785
50097,40.1113204956
50098,63.7013969421
50099,58.5472450256
50100,67.569480896
50101,43.1820030212
50102,54.8865127563
50103,74.4293823242
50104,44.901638031
50105,49.6268539429
50106,48.1818389893
50107,39.9910926819
50108,69.159866333
50109,44.1385231018
50110,50.7714195251
50111,52.8242225647
50112,67.6893920898
50113,46.1376838684
50114,68.7836074829
50115,64.9004745483
50116,52.3107719421
50117,66.0970077515
50118,52.0715065002
50119,69.6488571167
50120,63.0998840332
50121,54.2894554138
50122,51.0812187195
50123,54.3577384949
50124,68.0804443359
50125,50.9585037231
50126,61.8810539246
50127,60.5256462097
50128,41.7501411438
50129,74.0030975342
50130,48.2854576111
50131,66.6164932251
50132,58.4965705872
50133,47.2979316711
50134,48.4763031006
50135,54.7385101318
50136,52.1880836487
50137,80.4928436279
50138,57.776260376
50139,47.3836555481
50140,45.527797699
50141,38.09116745
50142,72.3532562256
50143,51.5317802429
50144,37.8900566101
50145,61.722743988
50146,38.0127296448
50147,52.5195579529
50148,51.1319236755
50149,58.5213432312
50150,69.5111846924
50151,53.0681343079
50152,39.2405815125
